movie_name,total_orders
,11390
oppam,33
Dunkirk,93
Muramba,84
nerve,40
live by night,22
assassins creed,4126
Raees,301
doddmane hudga,57
Ezra,191
Jindua,15
ameerpeta lo,2
Laali Ki Shaadi Mein Laaddoo Deewana,4
jalsa,1
Nenu Local,214
The Ghazi Attack,4497
moana,3737
byomkesh parbo,128
kabali,24
nirmala convent,155
Half Girlfriend,288
pittagoda,33
Winner,144
Pushpaka Vimana,2
arrival,1385
Jagga Jassos,1
mohenjo daro,20
Arrival,11
billy lynns long halftime walk,28
chennai 600028 ii,245
A Dog'S Purpose,136
1971 Beyond Borders,17
jack reacher,313
The Great Father,90
the the magnificent seven,14
Finding Dory,7
Irada,55
Sargi,6
Sakhavu,28
Chips,5
nikka zaildar,59
ek tera saath,1
dana kayonu,8
queen,2
kattappanayile ritwik roshan,355
anna,21
The Founder,19
suicide squad,55
gautamiputra satakarni,961
pili bail yamunakka,15
family katta,13
shankara,22
Singam 3,404
Shentimental,4
Cia - Comrade In America,38
kadavul irukkaan kumaru,28
THE JUNGLE BOOK,1
Pirates Of Caribbean: Salazar'S Revenge,390
C/O Saira Banu,58
kochauvva paulo ayyappa coelho,8
pink,2354
teenanko,4
Eradanesala,3
16 - Every Detail Counts,25
naanna nenu naa boy friends,922
Yaakkai,1
Posto,48
The Boss Baby,1295
Urvi,4
ti saddhya kaay karte,15
Baby Driver,1
Sarkar 3,68
sathamaanam bhavati,6
Tubelight,112
bridget jones`s baby,5
wolves at the door,27
grand hali,4
thodari,33
nenu local,1074
fukri,19
madaari,9
Adventures Of Omanakuttan,3
fantastic beasts and where to find,31
La La Land,62
office christmas party,88
wajah tum ho,2096
beautiful manasugalu,16
Commando 2,823
Fugay,112
nagarahavu,14
banjo,233
janatha garage,483
sundaranga jana,50
befikre,11821
within,15
m s dhoni the untold story,20
ice age colison course,3
Ramante Edanthottam,4
,334
khaidi no 150,130
mr. church,6
byomkesh o chiriakhana,14
Pa. Paandi,19
Mona Darling,8
dharmayogi the leader,42
meelo evaru koteswarudu,166
raees,8897
Logan,3682
yz,5
ore mugham,19
kotigobba -2,14
The Sense Of An Ending,1
Rabb Da Radio,28
Puthan Panam,9
jaundya na balasaheb,286
final cut of director,12
Anaarkali Of Aarah,15
Ghost In The Shell,58
achamindri,17
inferno,1605
Om Namo Venkatesaya,316
Vitamin She,2
AWAKE : THE LIFE OF YOGANANDA,2
Kadugu,15
mukunda murari,62
Love Icon,1
friend request,16
Sairat,4
pulimurugan,203
Begum Jaan,267
kookh,10
Chakravarthy,3
underworld 5 blood wars,12
mission mummy,10
Trapped,524
Te3n,4
lock,4
Fu: Friendship Unlimited,13
pete s dragon,2
resident evil 6 : the final chapter 3d,3
Nagaram,1
light out,12
mandyadha hudugru,6
Fashion Designer S/O Ladies Tailor,3
train to busan,94
commitment,3
The Conjuring 2,14
jayammu nischayammu ra..,61
Kuttram 23,56
saahasam swaasaga saagipo,849
Baahubali 2: The Conclusion,3427
premam,3567
Take Off,172
bairavaa,129
rustom,50
aandavan kattalai,21
rekka,7
Kanika,50
the founder,60
teshan,4
Deepwater Horizon,6
Shivya,2
